x
ENSG00000000003
ENSG00000001630
ENSG00000002746
ENSG00000003096
ENSG00000003137
ENSG00000004776
ENSG00000004939
ENSG00000005001
ENSG00000005073
ENSG00000005108
ENSG00000005187
ENSG00000005249
ENSG00000005421
ENSG00000005469
ENSG00000006071
ENSG00000006128
ENSG00000006432
ENSG00000006747
ENSG00000007001
ENSG00000007062
ENSG00000007216
ENSG00000007402
ENSG00000007516
ENSG00000007908
ENSG00000007923
ENSG00000008196
ENSG00000009765
ENSG00000010256
ENSG00000010319
ENSG00000010438
ENSG00000011198
ENSG00000011347
ENSG00000011376
ENSG00000011465
ENSG00000012171
ENSG00000012223
ENSG00000013293
ENSG00000013297
ENSG00000013503
ENSG00000013588
ENSG00000014257
ENSG00000015413
ENSG00000015520
ENSG00000016391
ENSG00000016402
ENSG00000017797
ENSG00000018236
ENSG00000018869
ENSG00000019186
ENSG00000021300
ENSG00000022556
ENSG00000023228
ENSG00000025423
ENSG00000027644
ENSG00000034239
ENSG00000035720
ENSG00000036672
ENSG00000036828
ENSG00000039068
ENSG00000039600
ENSG00000043591
ENSG00000046653
ENSG00000047249
ENSG00000047597
ENSG00000047662
ENSG00000047936
ENSG00000048540
ENSG00000049089
ENSG00000049130
ENSG00000049283
ENSG00000049323
ENSG00000049759
ENSG00000050030
ENSG00000050438
ENSG00000050628
ENSG00000052344
ENSG00000053108
ENSG00000053770
ENSG00000053918
ENSG00000054598
ENSG00000054654
ENSG00000054793
ENSG00000055163
ENSG00000055732
ENSG00000056487
ENSG00000056998
ENSG00000057593
ENSG00000058085
ENSG00000060140
ENSG00000060237
ENSG00000060709
ENSG00000060762
ENSG00000060971
ENSG00000062038
ENSG00000062282
ENSG00000063176
ENSG00000064195
ENSG00000064225
ENSG00000064270
ENSG00000064787
ENSG00000065154
ENSG00000065621
ENSG00000065675
ENSG00000066185
ENSG00000066230
ENSG00000066382
ENSG00000066468
ENSG00000066926
ENSG00000067715
ENSG00000067842
ENSG00000068366
ENSG00000069702
ENSG00000070087
ENSG00000070159
ENSG00000070182
ENSG00000070193
ENSG00000070731
ENSG00000070808
ENSG00000070915
ENSG00000071909
ENSG00000071991
ENSG00000072041
ENSG00000072071
ENSG00000072133
ENSG00000072201
ENSG00000072415
ENSG00000072840
ENSG00000072954
ENSG00000073150
ENSG00000073350
ENSG00000073756
ENSG00000073792
ENSG00000073849
ENSG00000073910
ENSG00000074527
ENSG00000074696
ENSG00000074803
ENSG00000075035
ENSG00000075290
ENSG00000075461
ENSG00000075643
ENSG00000075673
ENSG00000076258
ENSG00000076716
ENSG00000076770
ENSG00000076864
ENSG00000077009
ENSG00000077097
ENSG00000077274
ENSG00000077942
ENSG00000078053
ENSG00000078070
ENSG00000078114
ENSG00000078328
ENSG00000079101
ENSG00000079337
ENSG00000079385
ENSG00000079482
ENSG00000079557
ENSG00000079691
ENSG00000079931
ENSG00000080200
ENSG00000080293
ENSG00000080511
ENSG00000081026
ENSG00000081051
ENSG00000081052
ENSG00000081148
ENSG00000081181
ENSG00000081248
ENSG00000081800
ENSG00000081803
ENSG00000081923
ENSG00000082438
ENSG00000083067
ENSG00000083307
ENSG00000083720
ENSG00000084453
ENSG00000085117
ENSG00000085276
