ENSG00000122687 ENSG00000168806
ENSG00000127980 ENSG00000128534
ENSG00000156467 ENSG00000164944
ENSG00000117222 ENSG00000162736
ENSG00000148356 ENSG00000156052
ENSG00000007520 ENSG00000105738
ENSG00000172771 ENSG00000177646
ENSG00000125755 ENSG00000156858
ENSG00000126005 ENSG00000132780
ENSG00000127884 ENSG00000180628
ENSG00000136527 ENSG00000149948
ENSG00000023572 ENSG00000154305
ENSG00000115998 ENSG00000167118
ENSG00000165512 ENSG00000198060
ENSG00000130713 ENSG00000188938
ENSG00000078674 ENSG00000104687
ENSG00000113161 ENSG00000164151
ENSG00000148655 ENSG00000156521
ENSG00000009954 ENSG00000106028
ENSG00000057757 ENSG00000198492
ENSG00000151366 ENSG00000158850
ENSG00000136319 ENSG00000151445
ENSG00000100253 ENSG00000204179
ENSG00000105819 ENSG00000132780
ENSG00000108091 ENSG00000154473
ENSG00000104299 ENSG00000182473
ENSG00000140829 ENSG00000166747
ENSG00000162819 ENSG00000177628
ENSG00000152292 ENSG00000176387
ENSG00000104689 ENSG00000129691
ENSG00000115204 ENSG00000254535
ENSG00000198015 ENSG00000204842
ENSG00000182180 ENSG00000183605
ENSG00000170037 ENSG00000172671
ENSG00000010165 ENSG00000160685
ENSG00000165494 ENSG00000257950
ENSG00000095321 ENSG00000119318
ENSG00000140990 ENSG00000213694
ENSG00000119630 ENSG00000136235
ENSG00000100726 ENSG00000168096
ENSG00000119912 ENSG00000138326
ENSG00000160691 ENSG00000163348
ENSG00000184470 ENSG00000189077
ENSG00000114354 ENSG00000114439
ENSG00000147475 ENSG00000155975
ENSG00000064886 ENSG00000137166
ENSG00000166477 ENSG00000169992
ENSG00000155975 ENSG00000168615
ENSG00000163961 ENSG00000184432
ENSG00000131469 ENSG00000213741
ENSG00000108107 ENSG00000130255
ENSG00000095139 ENSG00000177951
ENSG00000081019 ENSG00000116473
ENSG00000172765 ENSG00000181322
ENSG00000050748 ENSG00000196670
ENSG00000067533 ENSG00000160818
ENSG00000135845 ENSG00000143198
ENSG00000154957 ENSG00000156931
ENSG00000113141 ENSG00000124228
ENSG00000139613 ENSG00000204842
ENSG00000091483 ENSG00000171163
ENSG00000151465 ENSG00000164008
ENSG00000143612 ENSG00000162735
ENSG00000104671 ENSG00000104714
ENSG00000122033 ENSG00000168421
ENSG00000120925 ENSG00000168575
ENSG00000143393 ENSG00000163374
ENSG00000107771 ENSG00000119977
ENSG00000089220 ENSG00000235194
ENSG00000056277 ENSG00000148690
ENSG00000143811 ENSG00000174606
ENSG00000121454 ENSG00000233493
ENSG00000129910 ENSG00000174529
ENSG00000129250 ENSG00000141933
ENSG00000177600 ENSG00000182810
ENSG00000113312 ENSG00000175416
ENSG00000120278 ENSG00000130224
ENSG00000085449 ENSG00000266074
ENSG00000003400 ENSG00000012048
ENSG00000043143 ENSG00000134508
ENSG00000072736 ENSG00000214013
ENSG00000055044 ENSG00000163166
ENSG00000120658 ENSG00000130150
ENSG00000152464 ENSG00000160818
ENSG00000104412 ENSG00000147684
ENSG00000107938 ENSG00000108021
ENSG00000105447 ENSG00000162493
ENSG00000022277 ENSG00000101421
ENSG00000134954 ENSG00000187091
ENSG00000160685 ENSG00000162729
ENSG00000023041 ENSG00000171206
ENSG00000031081 ENSG00000048162
ENSG00000113810 ENSG00000121864
ENSG00000107175 ENSG00000137133
ENSG00000057757 ENSG00000084652
ENSG00000185730 ENSG00000234616
ENSG00000107882 ENSG00000158104
ENSG00000110777 ENSG00000137265
ENSG00000171224 ENSG00000214655
ENSG00000051108 ENSG00000103160
ENSG00000143442 ENSG00000163159
ENSG00000134571 ENSG00000163449
ENSG00000092470 ENSG00000101255
ENSG00000162889 ENSG00000163468
ENSG00000128534 ENSG00000161057
ENSG00000162373 ENSG00000204859
ENSG00000055130 ENSG00000197362
ENSG00000100478 ENSG00000100601
ENSG00000144824 ENSG00000173230
ENSG00000143164 ENSG00000157181
ENSG00000157456 ENSG00000169607
ENSG00000115241 ENSG00000138398
ENSG00000135749 ENSG00000162819
